Surname,CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,LogAge,Geography_France,Geography_Germany,Geography_Spain,Gender_Female,Gender_Male
Hargrave,619,42,2,0.0,1,1,1,101348.88,1,3.7612001156935624,1,0,0,1,0
Hill,608,41,1,83807.86,1,0,1,112542.58,0,3.7376696182833684,0,0,1,1,0
Onio,502,42,8,159660.8,3,1,0,113931.57,1,3.7612001156935624,1,0,0,1,0
Boni,699,39,1,0.0,2,0,0,93826.63,0,3.6888794541139363,1,0,0,1,0
Mitchell,850,43,2,125510.82,1,1,1,79084.1,0,3.784189633918261,0,0,1,1,0
Chu,645,44,8,113755.78,2,1,0,149756.71,1,3.8066624897703196,0,0,1,0,1
Bartlett,822,50,7,0.0,2,1,1,10062.8,0,3.9318256327243257,1,0,0,0,1
Obinna,376,29,4,115046.74,4,1,0,119346.88,1,3.4011973816621555,0,1,0,1,0
He,501,44,4,142051.07,2,0,1,74940.5,0,3.8066624897703196,1,0,0,0,1
H?,684,27,2,134603.88,1,1,1,71725.73,0,3.332204510175204,1,0,0,0,1
Bearce,528,31,6,102016.72,2,0,0,80181.12,0,3.4657359027997265,1,0,0,0,1
Andrews,497,24,3,0.0,2,1,0,76390.01,0,3.2188758248682006,0,0,1,0,1
Kay,476,34,10,0.0,2,1,0,26260.98,0,3.5553480614894135,1,0,0,1,0
Chin,549,25,5,0.0,2,0,0,190857.79,0,3.258096538021482,1,0,0,1,0
Scott,635,35,7,0.0,2,1,1,65951.65,0,3.58351893845611,0,0,1,1,0
Goforth,616,45,3,143129.41,2,0,1,64327.26,0,3.828641396489095,0,1,0,0,1
Romeo,653,58,1,132602.88,1,1,0,5097.67,1,4.07753744390572,0,1,0,0,1
Henderson,549,24,9,0.0,2,1,1,14406.41,0,3.2188758248682006,0,0,1,1,0
Muldrow,587,45,6,0.0,1,0,0,158684.81,0,3.828641396489095,0,0,1,0,1
Hao,726,24,6,0.0,2,1,1,54724.03,0,3.2188758248682006,1,0,0,1,0
McDonald,732,41,8,0.0,2,1,1,170886.17,0,3.7376696182833684,1,0,0,0,1
Dellucci,636,32,8,0.0,2,1,0,138555.46,0,3.4965075614664802,0,0,1,1,0
Gerasimov,510,38,4,0.0,1,1,0,118913.53,1,3.6635616461296463,0,0,1,1,0
Mosman,669,46,3,0.0,2,0,1,8487.75,0,3.8501476017100584,1,0,0,0,1
Yen,846,38,5,0.0,1,1,1,187616.16,0,3.6635616461296463,1,0,0,1,0
Maclean,577,25,3,0.0,2,0,1,124508.29,0,3.258096538021482,1,0,0,0,1
Young,756,36,2,136815.64,1,1,1,170041.95,0,3.6109179126442243,0,1,0,0,1
Nebechi,571,44,9,0.0,2,0,0,38433.35,0,3.8066624897703196,1,0,0,0,1
McWilliams,574,43,3,141349.43,1,1,1,100187.43,0,3.784189633918261,0,1,0,1,0
Lucciano,411,29,0,59697.17,2,1,1,53483.21,0,3.4011973816621555,1,0,0,0,1
Azikiwe,591,39,3,0.0,3,1,0,140469.38,1,3.6888794541139363,0,0,1,1,0
Odinakachukwu,533,36,7,85311.7,1,0,1,156731.91,0,3.6109179126442243,1,0,0,0,1
Sanderson,553,41,9,110112.54,2,0,0,81898.81,0,3.7376696182833684,0,1,0,0,1
Maggard,520,42,6,0.0,2,1,1,34410.55,0,3.7612001156935624,0,0,1,1,0
Clements,722,29,9,0.0,2,1,1,142033.07,0,3.4011973816621555,0,0,1,1,0
Lombardo,475,45,0,134264.04,1,1,0,27822.99,1,3.828641396489095,1,0,0,1,0
Watson,490,31,3,145260.23,1,0,1,114066.77,0,3.4657359027997265,0,0,1,0,1
Lorenzo,804,33,7,76548.6,1,0,1,98453.45,0,3.5263605246161616,0,0,1,0,1
Armstrong,850,36,7,0.0,1,1,1,40812.9,0,3.6109179126442243,1,0,0,0,1
Cameron,582,41,6,70349.48,2,0,1,178074.04,0,3.7376696182833684,0,1,0,0,1
Hsiao,472,40,4,0.0,1,1,0,70154.22,0,3.713572066704308,0,0,1,0,1
Clarke,465,51,8,122522.32,1,0,0,181297.65,1,3.9512437185814275,1,0,0,1,0
Osborne,556,61,2,117419.35,1,1,1,94153.83,0,4.127134385045092,1,0,0,1,0
Lavine,834,49,2,131394.56,1,0,0,194365.76,1,3.912023005428146,1,0,0,1,0
Bianchi,660,61,5,155931.11,1,1,1,158338.39,0,4.127134385045092,0,0,1,1,0
Tyler,776,32,4,109421.13,2,1,1,126517.46,0,3.4965075614664802,0,1,0,1,0
Martin,829,27,9,112045.67,1,1,1,119708.21,1,3.332204510175204,0,1,0,1,0
Okagbue,637,39,9,137843.8,1,1,1,117622.8,1,3.6888794541139363,0,1,0,1,0
Yin,550,38,2,103391.38,1,0,1,90878.13,0,3.6635616461296463,0,1,0,0,1
Buccho,776,37,2,103769.22,2,1,0,194099.12,0,3.6375861597263857,0,1,0,1,0
Chidiebele,698,44,10,116363.37,2,1,0,198059.16,0,3.8066624897703196,0,1,0,0,1
Trevisani,585,36,5,146050.97,2,0,0,86424.57,0,3.6109179126442243,0,1,0,0,1
O'Brien,788,33,5,0.0,2,0,0,116978.19,0,3.5263605246161616,1,0,0,1,0
Parkhill,655,41,8,125561.97,1,0,0,164040.94,1,3.7376696182833684,0,1,0,0,1
Yoo,601,42,1,98495.72,1,1,0,40014.76,1,3.7612001156935624,0,1,0,0,1
Phillipps,619,43,1,125211.92,1,1,1,113410.49,0,3.784189633918261,1,0,0,0,1
Tsao,656,45,5,127864.4,1,1,0,87107.57,0,3.828641396489095,1,0,0,0,1
Endrizzi,725,19,0,75888.2,1,0,0,45613.75,0,2.995732273553991,0,1,0,0,1
T'ien,511,66,4,0.0,1,1,0,1643.11,1,4.204692619390966,0,0,1,1,0
Velazquez,614,51,4,40685.92,1,1,1,46775.28,0,3.9512437185814275,1,0,0,0,1
Hunter,742,35,5,136857.0,1,0,0,84509.57,0,3.58351893845611,0,1,0,0,1
Clark,687,27,9,152328.88,2,0,0,126494.82,0,3.332204510175204,0,1,0,1,0
Jeffrey,555,33,1,56084.69,2,0,0,178798.13,0,3.5263605246161616,0,0,1,0,1
Pirozzi,684,56,8,78707.16,1,1,1,99398.36,0,4.04305126783455,0,0,1,0,1
Jackson,603,26,4,109166.37,1,1,1,92840.67,0,3.295836866004329,0,1,0,0,1
Hammond,751,36,6,169831.46,2,1,1,27758.36,0,3.6109179126442243,0,1,0,1,0
Brownless,581,34,1,101633.04,1,1,0,110431.51,0,3.5553480614894135,0,1,0,1,0
Chibugo,735,43,10,123180.01,2,1,1,196673.28,0,3.784189633918261,0,1,0,0,1
Glauert,661,35,5,150725.53,2,0,1,113656.85,0,3.58351893845611,0,1,0,1,0
Pisano,675,21,8,98373.26,1,1,0,18203.0,0,3.091042453358316,1,0,0,1,0
Konovalova,738,58,2,133745.44,4,1,0,28373.86,1,4.07753744390572,0,1,0,0,1
McKee,813,29,6,0.0,1,1,0,33953.87,0,3.4011973816621555,1,0,0,0,1
